Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Mean,Bwd Packet Length Mean,Flow IAT Mean,Fwd IAT Mean,Bwd IAT Mean,Fwd Packets/s,Bwd Packets/s,SYN Flag Count,ACK Flag Count,PSH Flag Count,FIN Flag Count,Packet Length Mean,Min Packet Length,Max Packet Length,Flow Bytes/s,Flow Packets/s,Down/Up Ratio,Prediction
0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,1.0,0.0,1.0,1.0,0.0,0
0,0.0256553714012755,0.0,0.0384615384615384,0.0,0.0166391314609393,0,0,0.0,0.0,0.3586691518260409,0.0024340799053533,1.0,0,0,0,0,0,1.0,0.0955223880597015,0.0076099400617881,0.0048747764331533,0.7727272727272727,0
0,0.0277295129800711,0.0454545454545454,0.0384615384615384,0.0108354271356783,0.0166391314609393,0,0,0.0,0.137272801870915,0.3586691518260409,0.0056602793488726,0.9254630364497616,0,0,0,0,0,0.5,0.0955223880597015,0.0099582829003934,0.007822377411545,0.3863636363636363,0
0,0.1437735730119256,0.0454545454545454,0.0769230769230769,0.0108354271356783,0.0247816851545905,0,0,0.0,0.137272801870915,0.9874272448727404,0.0,0.357999376279556,0,0,0,0,0,0.5,0.0955223880597015,0.0,0.0,0.7727272727272727,0
0,0.1441492525446912,0.0909090909090909,0.0769230769230769,0.0204145728643216,0.0247816851545905,0,0,0.0,0.108090920280628,0.9874272448727404,0.0006733565212658,0.357066994583252,0,0,0,0,0,0.0,0.0955223880597015,0.0005290087092984,0.000670731887685,0.5151515151515151,1
0,0.1448322639724541,0.1363636363636363,0.0769230769230769,0.1377198492462311,0.0247816851545905,0,0,0.0,0.1036700447216109,0.9874272448727404,0.0013374881086736,0.3553842427508857,0,0,0,0,0,0.0,1.0,0.0070591392196089,0.0013293774847087,0.3863636363636363,0
0,0.1451351788432421,0.1818181818181818,0.0769230769230769,0.1862437185929648,0.0247816851545905,0,0,0.0,0.0909551552947816,0.9874272448727404,0.0020041639014311,0.354643010353372,0,0,0,0,0,0.0,1.0,0.0097405884216636,0.0019941452717799,0.3090909090909091,0
0,0.1870283287207189,0.2272727272727272,0.0769230769230769,0.1970791457286432,0.0247816851545905,0,0,0.0,1.0,0.9874272448727404,0.0017733905418982,0.2752466366598792,0,0,0,0,0,0.0,1.0,0.0073245925168294,0.0014616258585225,0.2575757575757575,1
0,0.2606350149974952,0.2272727272727272,0.1153846153846153,0.1970791457286432,0.0319801746518763,0,0,0.0,1.0,1.0,0.0008895687254646,0.2963137654908246,0,0,0,0,0,0.0,1.0,0.0046666284248149,0.0006565852167501,0.3863636363636363,0
0,0.2610430085494774,0.2272727272727272,0.1538461538461538,0.1970791457286432,0.0448430493273542,0,0,0.0,1.0,0.751420566456608,0.0008860582960389,0.3944677585626712,0,0,0,0,0,0.0,1.0,0.0051846520283298,0.001025716672926,0.5151515151515151,0
0,0.2618603905031924,0.2727272727272727,0.1538461538461538,0.2631909547738693,0.0448430493273542,0,0,0.0,0.8725990703999215,0.751420566456608,0.0012517877448455,0.3932369087575499,0,0,0,0,0,0.0,1.0,0.00720021138914,0.0013872702233861,0.4415584415584415,1
0,0.381203502669623,0.2727272727272727,0.1923076923076923,0.2631909547738693,0.132995043662969,0,0,0.0,0.8725990703999215,0.9335629263722977,0.0004351656864804,0.3376974858262594,0,0,0,0,0,0.0,1.0,0.0064514396327805,0.0003586799816853,0.551948051948052,1
0,0.3816303266932352,0.2727272727272727,0.2307692307692307,0.2631909547738693,0.2211470379985839,0,0,0.0,0.8725990703999215,0.7789598593517792,0.0004331614439589,0.4047838725177631,0,0,0,0,0,0.0,1.0,0.0089265624761254,0.0006113699146898,0.6623376623376622,1
0,0.3819292894897305,0.2727272727272727,0.2692307692307692,0.2631909547738693,0.3092990323341987,0,0,0.0,0.8725990703999215,0.6682747018988221,0.0004317602679518,0.4718782841630545,0,0,0,0,0,0.0,1.0,0.0114010226825964,0.0008646942010222,0.7727272727272727,1
0,0.3824337601494466,0.2727272727272727,0.3076923076923077,0.2631909547738693,0.3974510266698135,0,0,0.0,0.8725990703999215,0.5856186061018793,0.0004294008854947,0.538578268984055,0,0,0,0,0,0.0,1.0,0.0138624720956459,0.001115561516926,0.8831168831168831,0
0,0.3829094039143216,0.2727272727272727,0.3461538461538461,0.2631909547738693,0.4565730469671937,0,0,0.0,0.8725990703999215,0.5212859224787133,0.0004271820175413,0.6051481045135139,0,0,0,0,0,0.0,1.0,0.0155030027915576,0.0013660754198712,0.9935064935064936,1
0,0.3832750870238762,0.3181818181818182,0.3461538461538461,0.2790515075376884,0.4565730469671937,0,0,0.0,0.7695746830509164,0.5212859224787133,0.0006801652845456,0.604570879004931,0,0,0,0,0,0.0,1.0,0.0158198805949041,0.0016172110661812,0.8693181818181818,0
0,0.3835798616943313,0.3636363636363636,0.3461538461538461,0.2961683417085427,0.4565730469671937,0,0,0.0,0.68854880400443,0.5212859224787133,0.0009330299241077,0.604090637256476,0,0,0,0,0,0.0,1.0,0.0161657020175265,0.0018685961276225,0.7727272727272727,0
0,0.3842810061688491,0.4090909090909091,0.3461538461538461,0.4134736180904522,0.4565730469671937,0,0,0.0,0.6289746851023689,0.5212859224787133,0.0011828710174708,0.6029887161088628,0,0,0,0,0,0.0,1.0,0.0185991891047921,0.0021145932957252,0.6954545454545454,1
0,0.3846176299086042,0.4545454545454545,0.3461538461538461,0.5172738693467337,0.4565730469671937,0,0,0.0,0.5758458502888809,0.5212859224787133,0.0014344450150172,0.602461104124984,0,0,0,0,0,0.0,1.0,0.0207627462836837,0.0023645061174355,0.6322314049586777,1
0,0.3906870861223673,0.4545454545454545,0.3846153846153846,0.5172738693467337,0.4647156006608449,0,0,0.0,0.5758458502888809,0.477610469615257,0.0013910848506681,0.6590044468240157,0,0,0,0,0,0.0,1.0,0.0206157457429993,0.0025357567132126,0.7024793388429752,1
0,0.3916871933933803,0.5,0.3846153846153846,0.5268530150753769,0.4647156006608449,0,0,0.0,0.5388903704919416,0.477610469615257,0.0016332860264107,0.6573222087526264,0,0,0,0,0,0.0,1.0,0.0207528799283926,0.0027719003769082,0.6439393939393939,0
0,0.392157257759254,0.5454545454545454,0.3846153846153846,0.6441582914572864,0.4647156006608449,0,0,0.0,0.5022234565992051,0.477610469615257,0.0018786205515169,0.6565344968496988,0,0,0,0,0,0.0,1.0,0.0231433819398123,0.0030145777630676,0.5944055944055944,1
0,0.3924464566074967,0.5909090909090909,0.3846153846153846,0.6901695979899497,0.4647156006608449,0,0,0.0,0.4690846428424919,0.477610469615257,0.0021249715137157,0.6560508083004104,0,0,0,0,0,0.0,1.0,0.0240721889031652,0.0032594272080409,0.551948051948052,1
0,0.4997299303072138,0.5909090909090909,0.4230769230769231,0.6901695979899497,0.4719140901581307,0,0,0.0,0.4690846428424919,0.5700253045528667,0.0013775292930855,0.5667589290739139,0,0,0,0,0,0.0,1.0,0.0183856608519671,0.0021719679034434,0.6071428571428571,0
0,0.5003808601907183,0.5909090909090909,0.4615384615384615,0.6901695979899497,0.4791125796554166,0,0,0.0,0.4690846428424919,0.5232786727781159,0.0013739723083427,0.617478320366662,0,0,0,0,0,0.0,1.0,0.0185124891581958,0.0023609648483315,0.6623376623376622,0
0,0.5023738680090342,0.5909090909090909,0.5,0.6901695979899497,0.4919754543308945,0,0,0.0,0.4690846428424919,0.4851616442532158,0.0013631388888216,0.6662815767558063,0,0,0,0,0,0.0,1.0,0.0187021580836989,0.0025354007643781,0.7175324675324675,1
0,0.502643074010855,0.5909090909090909,0.5384615384615384,0.6901695979899497,0.5029502006136417,0,0,0.0,0.4690846428424919,0.4507750499578392,0.0013616821467452,0.7171497828035132,0,0,0,0,0,0.0,1.0,0.0189254492421422,0.002727065789336,0.7727272727272727,1
0,0.5038180024505806,0.6363636363636364,0.5384615384615384,0.7022613065326633,0.5029502006136417,0,0,0.0,0.4481803635170036,0.4507750499578392,0.0015491040068723,0.7154776777393739,0,0,0,0,0,0.0,1.0,0.0190681008655309,0.0029083941538804,0.7212121212121211,1
0,0.592373525976997,0.6363636363636364,0.5769230769230769,0.7022613065326633,0.5101486901109276,0,0,0.0,0.4481803635170036,0.5029462521328727,0.0011146865926437,0.6520034827824748,0,0,0,0,0,0.0,1.0,0.0158789948697968,0.0022324032667214,0.7727272727272727,0
0,0.5929595953471094,0.6363636363636364,0.6153846153846154,0.7022613065326633,0.5230115647864054,0,0,0.0,0.4481803635170036,0.4720222606676046,0.001112243714468,0.6947831056761546,0,0,0,0,0,0.0,1.0,0.0160936706029907,0.0023923720954555,0.8242424242424243,1
0,0.5948228821386412,0.6818181818181818,0.6153846153846154,0.7658605527638191,0.5230115647864054,0,0,0.0,0.4355838171337067,0.4720222606676046,0.0012686308758661,0.692607049505817,0,0,0,0,0,0.0,1.0,0.0168981982980875,0.0025407103038982,0.7727272727272727,0
0,0.618899616154682,0.6818181818181818,0.6538461538461539,0.7658605527638191,0.548147274014633,0,0,0.0,0.4355838171337067,0.4639812403014065,0.0011664910218135,0.7072713547456659,0,0,0,0,0,0.0,1.0,0.0165557758967814,0.0024941054102978,0.8210227272727272,0
0,0.6710669968184028,0.7272727272727273,0.6538461538461539,0.7754396984924623,0.548147274014633,0,0,0.0,0.8161484139875155,0.4639812403014065,0.0011158013625646,0.6522975088672134,0,0,0,0,0,0.0,1.0,0.0151400869821409,0.0022346358368711,0.7727272727272727,1
0,0.7983223941937894,0.7272727272727273,0.6923076923076923,0.7754396984924623,0.6362992683502479,0,0,0.0,0.8161484139875155,0.5366672530606715,0.00072162556151,0.5805864954749457,0,0,0,0,0,0.0,1.0,0.0134145034855293,0.0015676697551606,0.8181818181818181,1
0,0.7987117897491001,0.7272727272727273,0.7307692307692307,0.7754396984924623,0.7244512626858627,0,0,0.0,0.8161484139875155,0.5087070421186343,0.00072061213886,0.6125425590398906,0,0,0,0,0,0.0,1.0,0.0145943483058813,0.0016879777854934,0.8636363636363636,0
0,0.7990130772951793,0.7272727272727273,0.7692307692307693,0.7754396984924623,0.8126032570214775,0,0,0.0,0.8161484139875155,0.4834814967509098,0.0007198286997156,0.6445385399741955,0,0,0,0,0,0.0,1.0,0.0157751290784953,0.0018086676602518,0.9090909090909092,0
0,0.7993238963145528,0.7272727272727273,0.8076923076923077,0.7754396984924623,0.9007552513570924,0,0,0.0,0.8161484139875155,0.4606647056129928,0.0007190210946917,0.6765023371919149,0,0,0,0,0,0.0,1.0,0.0169547801789595,0.0019292111491587,0.9545454545454546,0
0,0.7997449084642052,0.7272727272727273,0.8461538461538461,0.7754396984924623,0.9598772716544725,0,0,0.0,0.8161484139875155,0.4399919271892913,0.0007179281743555,0.708343687773448,0,0,0,0,0,0.0,1.0,0.0177398870139331,0.002049004060044,1.0,1
0,0.800025273264029,0.7727272727272727,0.8461538461538461,0.7850188442211056,0.9598772716544725,0,0,0.0,0.7728685430599389,0.4399919271892913,0.0008392315408727,0.7080954825715571,0,0,0,0,0,0.0,1.0,0.0178294154664614,0.0021695299738539,0.9444444444444444,1
0,0.8002737889945526,0.8181818181818182,0.8461538461538461,0.8008793969849246,0.9598772716544725,0,0,0.0,0.7339225674657254,0.4399919271892913,0.0009605421578673,0.7078756185322065,0,0,0,0,0,0.0,1.0,0.0179832051557114,0.0022901707466695,0.8947368421052632,1
0,0.8005230021499514,0.8636363636363636,0.8461538461538461,0.8179962311557789,0.9598772716544725,0,0,0.0,0.6988758051942733,0.4399919271892913,0.0010817753395089,0.7076552745433955,0,0,0,0,0,0.0,1.0,0.0181495740479126,0.0024107321567322,0.85,0
0,0.8008298690950322,0.9090909090909092,0.8461538461538461,0.9117462311557788,0.9598772716544725,0,0,0.0,0.667530229586607,0.4399919271892913,0.001202748774327,0.7073841438282606,0,0,0,0,0,0.0,1.0,0.0190882840941256,0.0025308406525281,0.8095238095238095,0
0,0.8011183705183997,0.9545454545454546,0.8461538461538461,0.9904208542713568,0.9598772716544725,0,0,0.0,0.6389237531844131,0.4399919271892913,0.0013236909980908,0.7071294292899295,0,0,0,0,0,0.0,1.0,0.0198746008113549,0.002650980219704,0.7727272727272727,1
0,0.9983366416726877,0.9545454545454546,0.8846153846153846,0.9904208542713568,0.9670757611517584,0,0,0.0,0.6389237531844131,0.5402847284653999,0.0007941177794281,0.5932451383683954,0,0,0,0,0,0.0,1.0,0.0154055424269391,0.001688319687253,0.8078512396694214,1
0,0.9987262697029564,0.9545454545454546,0.9230769230769232,0.9904208542713568,0.9799386358272364,0,0,0.0,0.6389237531844131,0.5179989682343531,0.0007932785325496,0.6187969265065649,0,0,0,0,0,0.0,1.0,0.015536933174077,0.0017844879707513,0.8429752066115701,1
0,0.9990008226288204,0.9545454545454546,0.9615384615384616,0.9904208542713568,0.9909133821099836,0,0,0.0,0.6389237531844131,0.4974319612073385,0.0007926875470687,0.644403000702708,0,0,0,0,0,0.0,1.0,0.0156500449061057,0.0018811109528716,0.878099173553719,1
0,0.9994206724036808,0.9545454545454546,1.0,0.9904208542713568,1.0,0,0,0.0,0.6389237531844131,0.4785248623724412,0.0007917844325289,0.6698976105404717,0,0,0,0,0,0.0,1.0,0.0157400114332929,0.001976998201559,0.913223140495868,1
0,1.0,1.0,1.0,1.0,1.0,0,0,0.0,0.6144785123952202,0.4785248623724412,0.0008881694127854,0.6695095582058216,0,0,0,0,0,0.0,1.0,0.0158065539885812,0.0020720409241659,0.8735177865612647,1
